"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/15/2023","AQS","390990015","1","0","ppb","0","Youngstown State","18","75.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"04/16/2023","AQS","390990015","1","2","ppb","3","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"04/17/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"04/18/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"04/20/2023","AQS","390990015","1","4","ppb","6","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"04/21/2023","AQS","390990015","1","4","ppb","6","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"04/22/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"04/23/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"04/24/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"04/25/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"04/26/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"04/27/2023","AQS","390990015","1","1","ppb","1","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"04/28/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
"04/29/2023","AQS","390990015","1","0","ppb","0","Youngstown State","23","96.0000","42401","Sulfur dioxide","060","49660","Youngstown-Warren-Boardman, OH-PA","39","Ohio","099","Mahoning","41.1061822","-80.64057637"
